Batch plan id,Batch plan/Process(Parent Job),Sequence,Enabled?,Job group(Sub-job),Date & Start Time,Schedule,Status (Automated/Manual),Active vs Non Active,BP sequence,BP name,BP description,Group dependency,Dependency behavior,Command Name,Selection.description,Selection.ID
100005,Customer invoicing,50,1,NPS Billing Item Generation - Weekly,24/12/2021 16:22,Monthly 20th,Automated,Active,2,Contract revision calculation before billing - Weekly,Triggers the revision formulas on NPS contracts which have period duration set to Weeks. Contracts which will be recalculated are those which have a variable interest rate or contracts which have LSC which are set to precomputed = false.,500828,3057,WBSACalculateRevisionFormulas,Find contracts for revision calculation - Weekly,500650
100005,Customer invoicing,50,1,NPS Billing Item Generation - Weekly,24/12/2021 16:22,Monthly 20th,Automated,Active,3,Bill NPS Contracts - Weekly - In Advance,Creates billing items for contracts which have period duration = weeks and are invoiced In Advance,500828,3057,WBSANPSBillingItemCreation,Find NPS contracts for billing item creation - Weekly - In Advance,500733
100005,Customer invoicing,50,1,NPS Billing Item Generation - Weekly,24/12/2021 16:22,Monthly 20th,Automated,Active,4,Bill NPS Contracts - Weekly - In Arrears,Creates billing items for contracts which have period duration = weeks and are invoiced In Arrears,500828,3057,WBSANPSBillingItemCreation,Find NPS contracts for billing item creation - Weekly - In Arrears,500734
100005,Customer invoicing,50,1,NPS Billing Item Generation - Weekly,24/12/2021 16:22,Monthly 20th,Automated,Active,10,Correct NPS billing items for terminated contracts - Weekly,Retrieves terminated contracts to correct the billing until the actual contract end date,500828,3057,CalculateAndBillNPSContract,Find terminated contracts for NPS billing correction - Weekly,500998
100005,Customer invoicing,50,1,NPS Billing Item Generation - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,11,CPK contracts distance settlement - Weekly - OL,Settles the difference when the actual distance arrive if the if the cpk billing done based on contract distance in previous weeks,500828,3057,DistanceSettlementCommand,Find CPK contracts to distance settle - Weekly - OL,501373
100005,Customer invoicing,50,1,NPS Billing Item Generation - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,12,CPK contracts distance settlement - Weekly - FM,Settles the difference when the actual distance arrive if the if the cpk billing done based on contract distance in previous weeks,500828,3057,DistanceSettlementCommand,Find CPK contracts to distance settle - Weekly - FM,501665
100005,Customer invoicing,50,1,NPS Billing Item Generation - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,13,Set distance settlements isValid to False on Weekly CPK contracts,Sets the distance settlement cost center event to False on CPK contracts,500828,3057,SetCostCenterEventValidity,Distance settlement cost center events on Weekly CPK contracts with isValid set to True,501671
100005,Customer invoicing,50,1,NPS Billing Item Generation - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,15,Amortization Adjustments for CPK Distance Settelements - Weekly,Adjusts the amortisation capital and payment after distance settlement,500828,3057,WBSAAdjustAmortizationForCPKDistanceSettlement,Find CPK contracts for Amort adjustment - Weekly,501530
100005,Customer invoicing,50,1,NPS Billing Item Generation - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,30,Update VAT Code on Interest billing items - Weekly,"Updates the VAT code on billing items to STDI which 
- are in status Is To Be Invoiced
- have service type = Interest
- have VAT code STDC",500828,3057,UpdateAttribute,Find to be invoiced interest billing items,500433
100005,Customer invoicing,55,1,Generate rental invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,1,Rental invoicing - Weekly - In Advance,Creates outgoing invoices for weekly rentals of operational lease and fleet managed.,500828,3057,GenerateInvoice,Find contracts for rental invoicing - Weekly - In Advance,500819
100005,Customer invoicing,55,1,Generate rental invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,2,Rental invoicing - Weekly - In Arrears,Creates outgoing invoices for weekly rentals of operational lease and fleet managed.,500828,3057,GenerateInvoice,Find contracts for rental invoicing - Weekly - In Arrears,500820
100005,Customer invoicing,55,1,Generate rental invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,50,Set Joint Venture on outgoing sales invoice - Weekly rental,Updates the Joint Venture on sales invoice,500828,3057,ExecuteFormula,Find outgoing invoices to set joint venture,500899
100005,Customer invoicing,55,1,Generate rental invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,51,Update invoiced cost center on outgoing invoice - Weekly rental,Updates invoiced cost center on outgoing invoice - Weekly rental,500828,3057,UpdateAttribute,Find outgoing invoices to update invoiced cost centre,500901
100005,Customer invoicing,55,1,Generate rental invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,52,Update invoiced cost center on outgoing invoice with Financial Customer - Weekly rental,Updates invoiced cost center on outgoing invoice with Financial Customer - Weekly rental,500828,3057,UpdateAttribute,Find outgoing invoices to update invoiced cost centre with Financial Customer,500903
100005,Customer invoicing,55,1,Generate rental invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,53,Update invoiced cost center id on outgoing invoice - Weekly rental,Updates invoiced cost center id on outgoing invoice - Weekly rental,500828,3057,UpdateAttribute,Find outgoing invoices to update invoiced cost centre,500901
100005,Customer invoicing,60,1,Generate other invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,1,Managed maintenance interest invoicing - Weekly,Creates outgoing invoices for managed maintenance interest,500828,3057,GenerateInvoice,Find customers with RMT Charge back = Weekly,501466
100005,Customer invoicing,60,1,Generate other invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,50,Set Joint Venture on outgoing sales invoice - Weekly RMT,Updates the Joint Venture on sales invoice,500828,3057,ExecuteFormula,Find outgoing invoices to set joint venture,500899
100005,Customer invoicing,60,1,Generate other invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,51,Update invoiced cost center on outgoing invoice - Weekly RMT,Updates invoiced cost center on outgoing invoice - Weekly RMT,500828,3057,UpdateAttribute,Find outgoing invoices to update invoiced cost centre,500901
100005,Customer invoicing,60,1,Generate other invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,52,Update invoiced cost center on outgoing invoice with Financial Customer - Weekly RMT,Updates invoiced cost center on outgoing invoice with Financial Customer - Weekly RMT,500828,3057,UpdateAttribute,Find outgoing invoices to update invoiced cost centre with Financial Customer,500903
100005,Customer invoicing,60,1,Generate other invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,53,Update invoiced cost center id on outgoing invoice - Weekly RMT,Updates invoiced cost center id on outgoing invoice - Weekly RMT,500828,3057,UpdateAttribute,Find outgoing invoices to update invoiced cost centre,500901
100005,Customer invoicing,65,1,Generate consolidated invoice - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,1,Generate consolidated invoice - Weekly Rental (OL),Generates the consolidated invoice for Weekly Rental invoice (OL),500828,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Weekly Rental invoice (OL) - UA,500865
100005,Customer invoicing,65,1,Generate consolidated invoice - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,2,Generate consolidated invoice - Weekly Rental (FM),Generates the consolidated invoice for Weekly Rental invoice (FM),500828,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Weekly Rental invoice (FM) - UA,500879
100005,Customer invoicing,65,1,Generate consolidated invoice - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,3,Generate consolidated invoice - Charge back MM Weekly,Generates the consolidated invoice for Charge back RMT on daily basis (depending on customer setting),500828,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Charge back MM Weekly invoice - UA,501457
100005,Customer invoicing,65,1,Generate consolidated invoice - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,10,Update invoiced cost center on consolidated invoice - Weekly,Updates invoiced cost center (consolidated at) on consolidated invoices - to be run after each consolidated invoice run,500828,3058,UpdateAttribute,Find consolidated invoices to update invoiced cost centre,500896
100005,Customer invoicing,65,1,Generate consolidated invoice - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,11,Update invoiced cost center id on consolidated invoice - Weekly,to be updated on each consolidated invoice run,500828,3058,UpdateAttribute,Find consolidated invoices to update invoiced cost centre id,500921
100005,Customer invoicing,65,1,Generate consolidated invoice - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,12,Update consolidated invoice invoicing address with consolidated cost center address - Weekly,to be updated on each consolidated invoice run,500828,3058,UpdateAttribute,Find consolidated invoices to update the invoicing address,500923
100005,Customer invoicing,65,1,Generate consolidated invoice - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,13,Update consolidated invoice sending address with consolidated cost center address - Weekly,to be updated on each consolidated invoice run,500828,3058,UpdateAttribute,Find consolidated invoices to update the invoicing address,500923
100005,Customer invoicing,75,1,Generate other invoices - Fortnightly,,Fortnightly,Automated,Active,1,Managed maintenance interest invoicing - Fortnightly,Creates outgoing invoices for managed maintenance interest,500856,3057,GenerateInvoice,Find customers with RMT Charge back = Fortnightly,501467
100005,Customer invoicing,75,1,Generate other invoices - Fortnightly,,Fortnightly,Automated,Active,50,Set Joint Venture on outgoing sales invoice - Fortnightly,Updates the Joint Venture on sales invoice,500856,3057,ExecuteFormula,Find outgoing invoices to set joint venture,500899
100005,Customer invoicing,75,1,Generate other invoices - Fortnightly,,Fortnightly,Automated,Active,51,Update invoiced cost center on outgoing invoice - Fortnightly,Updates invoiced cost center on outgoing invoice - Fortnightly,500856,3057,UpdateAttribute,Find outgoing invoices to update invoiced cost centre,500901
100005,Customer invoicing,75,1,Generate other invoices - Fortnightly,,Fortnightly,Automated,Active,52,Update invoiced cost center on outgoing invoice with Financial Customer - Fortnightly,Updates invoiced cost center on outgoing invoice with Financial Customer - Fortnightly,500856,3057,UpdateAttribute,Find outgoing invoices to update invoiced cost centre with Financial Customer,500903
100005,Customer invoicing,75,1,Generate other invoices - Fortnightly,,Fortnightly,Automated,Active,53,Update invoiced cost center id on outgoing invoice - Fortnightly,Updates invoiced cost center id on outgoing invoice - Fortnightly,500856,3057,UpdateAttribute,Find outgoing invoices to update invoiced cost centre,500901
100005,Customer invoicing,80,1,Generate consolidated invoice - Fortnightly,,Fortnightly,Automated,Active,2,Generate consolidated invoice - Charge back MM Fortnightly,Generates the consolidated invoice for Charge back RMT on daily basis (depending on customer setting),500856,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Charge back MM Fortnightly invoice - UA,501458
100005,Customer invoicing,80,1,Generate consolidated invoice - Fortnightly,,Fortnightly,Automated,Active,10,Update invoiced cost center on consolidated invoice - Fortnightly,Updates invoiced cost center (consolidated at) on consolidated invoices - to be run after each consolidated invoice run,500856,3058,UpdateAttribute,Find consolidated invoices to update invoiced cost centre,500896
100005,Customer invoicing,80,1,Generate consolidated invoice - Fortnightly,,Fortnightly,Automated,Active,11,Update invoiced cost center id on consolidated invoice - Fortnightly,to be updated on each consolidated invoice run,500856,3058,UpdateAttribute,Find consolidated invoices to update invoiced cost centre id,500921
100005,Customer invoicing,80,1,Generate consolidated invoice - Fortnightly,,Fortnightly,Automated,Active,12,Update consolidated invoice invoicing address with consolidated cost center address - Fortnightly,to be updated on each consolidated invoice run,500856,3058,UpdateAttribute,Find consolidated invoices to update the invoicing address,500923
100005,Customer invoicing,80,1,Generate consolidated invoice - Fortnightly,,Fortnightly,Automated,Active,13,Update consolidated invoice sending address with consolidated cost center address - Fortnightly,to be updated on each consolidated invoice run,500856,3058,UpdateAttribute,Find consolidated invoices to update the invoicing address,500923
100005,Customer invoicing,90,1,Monthly informal contract extension,24/11/2021 22:07,Monthly 20th,Automated,Active,1,Extend running contracts (Monthly),Proactively extends all contracts that normally end before the end of next month and for which the customer has not indicated his intention to return the vehicle. This process must run just before the monthly invoice run.,,3058,ExtendContracts,Running contracts which qualify for informal extension (Monthly),100305
100005,Customer invoicing,91,1,Bulk contract modification (prime interest rate for PS contracts),17/12/2021 18:21,Monthly 20th,Automated,Active,1,Bulk contract modification - precomputed interest change - In Advance contracts,,,3058,BulkContractModification,,
100005,Customer invoicing,91,1,Bulk contract modification (prime interest rate for PS contracts),17/12/2021 18:21,Monthly 20th,Automated,Active,2,Bulk contract modification - precomputed interest change - In Arrears contracts,,,3058,BulkContractModification,,
100005,Customer invoicing,91,1,Bulk contract modification (prime interest rate for PS contracts),17/12/2021 18:21,Monthly 20th,Automated,Active,5,Recalculate precomputed amendment quotes LS (prime interest rate bulk modification),update the interest rate on lease service,,3058,CalculateAdministrativeFormulaLS,Find precomputed quotes and lease services (prime interest rate bulk modification),501248
100005,Customer invoicing,91,1,Bulk contract modification (prime interest rate for PS contracts),17/12/2021 18:21,Monthly 20th,Automated,Active,6,Validate precomputed amendment quotes (prime interest rate bulk modification),,,3058,ProcessBulkQuote,Find precomputed quotes and lease services (prime interest rate bulk modification),501248
100005,Customer invoicing,91,1,Bulk contract modification (prime interest rate for PS contracts),17/12/2021 18:26,Monthly 20th,Automated,Active,7,Approve precomputed amendment quotes (prime interest rate bulk modification),,,3058,ProcessBulkQuote,Find validated precomputed quotes and lease services (prime interest rate bulk modification),501249
100005,Customer invoicing,91,1,Bulk contract modification (prime interest rate for PS contracts),17/12/2021 18:30,Monthly 20th,Automated,Active,8,CreateContract precomputed amendment quotes (prime interest rate bulk modification),,,3058,ProcessBulkQuote,Find approved precomputed quotes and lease services (prime interest rate bulk modification),501250
100005,Customer invoicing,94,1,NPS Billing Generation - Backdated activations - Monthly,24/11/2021 22:09,Monthly 20th,Automated,Active,1,Calculate Next Bill End Date - Monthly - 1st month backdated activation,Calculates the Bill Next Due Date on contracts,500827,3058,ExecuteFormula,Find NPS contracts for Next Bill End Date calculation - Monthly - 1st month backdated activation,501255
